,name,first_week,boxoffice,type,duration,release_time,technology,location,director,director_link,actor,production_company,issuing_company
0,上善若水,,502.8,剧情,,2000-12-2,2D,中国,武洪武 Hongwu Wu,http://www.cbooo.cn/p/1866365,胡红城 Hongcheng Hu;;;端木新卉 Xinhui Duanmu;;;王虎城 Hucheng Wang;;;宋珂欣 Kexin Song,,
1,生死抉择,,11659.0,剧情,162,2000-6-21,2D,中国,于本正 Benzheng Yu,http://www.cbooo.cn/p/4703,王庆祥 Qingxiang Wang;;;廖京生 Jingsheng Liao;;;左翎 Ling Zuo;;;王振荣 Zhenrong Wang;;;雷明 Ming Lei;;;张弘 Hong Zhang,;;;上海电影制片厂 Shanghai Film Studio,;;;上海电影股份有限公司影视发行分公司 Eastern Mordor
2,幸福时光,3.0,505.7,喜剧,102,2000-12-31,2D,中国,张艺谋 Yimou Zhang,http://www.cbooo.cn/p/1947,赵本山 Benshan Zhao;;;董洁 Jie Dong;;;董立范 Lifan Dong;;;傅彪 Biao Fu;;;李雪健 Xuejian Li;;;牛犇 Ben Niu;;;张洪杰 Hongjie Zhang;;;孙红雷 Honglei Sun,;;;广西电影制片厂 Guangxi Film Studio;;; Xin Huamian Film;;; Zhuhai Zhenrong Co.,";;;二十世纪福斯意大利分公司 20th Century Fox Italia;;;二十世纪福斯荷兰分公司 20th Century Fox Netherlands;;;二十世纪福斯德国分公司 20th Century Fox of Germany;;; Diaphana Films;;; Fox-Warner;;; Gemini Film;;; Mongrel Media;;;索尼经典影业公司 Sony Pictures Classics;;;20世纪福斯家庭娱乐电影公司 20th Century Fox Home Entertainment;;;北京新画面影业有限公司 Beijing New Pictures Co.,Ltd"
3,走出硝烟的女神,,1.8,剧情,,2000-7-26,2D,中国,王薇 Wei Wang,http://www.cbooo.cn/p/1867754,宋春丽 Chunli Song;;;吴京安 Jingan Wu;;;剧雪 Xue Ju;;;王茜华 Qianhua Wang;;;施京明 Jingming Shi,,
4,过年回家,,0.4,剧情,Italy:90,2000-9-28,2D,意大利/中国,张元 Yuan Zhang,http://www.cbooo.cn/p/715,刘琳 Lin Liu;;;李冰冰 Bingbing Li;;;李野萍 Yeding Li;;;梁松 Song Liang;;;李芸 Yun Li,;;; Fondazione MonteCinemaVerit&#224; Locarno;;; Fabrica;;; Keetman Limited;;; Rai Cinemafiction;;; The Swiss Agency for Development &#38; Cooperation;;; United Colors of Benetton,";;; Kino Video;;; Istituto Luce;;; K2 Entertainment;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
5,紧急迫降,,500.0,动作,USA:114,2000-1-7,2D,中国,张建亚 Jianya Zhang,http://www.cbooo.cn/p/83,邵兵 Bing Shao;;;尤勇智 Yongzhi You;;;徐帆 Fan Xu;;;池华琼 Huaqiong Chi;;;张康尔 Kanger Zhang;;;魏宗万 Zongwan Wei;;;白穆 Mu Bai,;;;上海电影制片厂 Shanghai Film Studio,;;;上海电影股份有限公司影视发行分公司 Eastern Mordor
6,马可波罗回香都,,200.2,动画,82,2000-6-29,2D,美国/斯洛伐克/中国,Ron Merk,http://www.cbooo.cn/p/7259,尼古拉斯·冈萨雷斯 Nicholas Gonzalez (voice),;;; The Tooniversal Company,;;; KOAN;;;中国电影集团公司 China Film Group Corporation
7,西洋镜,1.0,200.1,爱情,Canada:116,2000-3-2,2D,中国/德国/中国台湾/美国,胡安 Ann Hu,http://www.cbooo.cn/p/7338,杰瑞德·哈里斯 Jared Harris;;;夏雨 Yu Xia;;;刘佩琦 Liu Peiqi;;;吕丽萍 Liping Lu;;;王景明 Jingming Wang;;;李玉生 Yusheng Li;;;慕岐 Qi Mu;;;方青卓 Qingzhuo Fang;;;李滨 Bin Li,;;;北京电影制片厂 Beijing Film Studio;;; C &#38; A Productions;;; Central Motion Pictures Corporation;;; China Film;;; Filmstiftung Nordrhein-Westfalen;;; Post Production Playground;;; Road Movies Vierte Produktionen;;; Schulberg Productions;;; Taiwan Central Motion Picture Corporation,";;; GAGA Communications;;;索尼经典影业公司 Sony Pictures Classics;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
8,卧虎藏龙,66.0,1000.0,武侠/动作,120,2000-10-18,2D,中国台湾/中国香港/美国/中国,李安 Ang Lee,http://www.cbooo.cn/p/10218,周润发 Yun-Fat Chow;;;杨紫琼 Michelle Yeoh;;;章子怡 Ziyi Zhang;;;张震 Zhen Zhang;;;郑佩佩 Pei-pei Cheng;;;李法曾 Fa Zeng Li;;;高西安 Xian Gao;;;李力 Li Li;;;黄素影 Suying Huang;;;李凯 Kai Li;;;徐成林 Cheng Lin Xu;;;林峯 Raymond Lam;;;王文升 Wen Sheng Wang;;;邱心志 Xin-zhi Qiu;;;黄奕 Crystal Huang;;;何润东 Peter Ho;;;蒋勤勤 Qinqin Jiang,";;; Asia Union Film &#38; Entertainment Ltd.;;;中国电影合作制片公司 China Film Co-Production Corporation;;;哥伦比亚电影制作（亚洲）有限公司 Columbia Pictures Film Production Asia;;; Good Machine;;;索尼经典影业公司 Sony Pictures Classics;;; United China Vision;;;纵横国际影视股份有限公司 Zongheng International Film&TV Co,.Ltd",";;;华纳兄弟电影公司 Warner Bros Pictures;;;索尼电影娱乐公司 Sony Pictures Entertainment;;;安乐影片有限公司 EDKO Film Co.,Ltd;;; Arthaus Filmverleih;;; Indies Film Distribution;;; Columbia TriStar Films de Argentina;;; Laurenfilm;;; Blackwatch Releasing;;;索尼经典影业公司 Sony Pictures Classics;;; Continental Film;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Entertainment;;; Columbia TriStar Home Video;;; Columbia TriStar Home Video;;; Falcon;;; Fox Network;;; Kinowelt Home Entertainment;;; LK-TEL;;; Yorin;;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
9,一声叹息,,2800.0,爱情/剧情,111,2000-9-15,2D,中国,冯小刚 Xiaogang Feng,http://www.cbooo.cn/p/455,张国立 Guoli Zhang;;;刘蓓 Bei Liu;;;徐帆 Fan Xu;;;傅彪 Biao Fu,;;; Beijing Films Production Inc.,";;;北京紫禁城三联影视发行有限公司 Beijing Forbidden City Sanlian Distribution Co.,Ltd"
10,大惊小怪,,200.0,喜剧,,2000-12-28,2D,中国,丁晟 Sheng Ding,http://www.cbooo.cn/p/14253,刘金山 Jinshan Liu;;;袁莉 Li Yuan;;;张世 Shi Zhang,,;;;中国电影集团公司 China Film Group Corporation
